product_name,category,weight,fragility_level,storage_condition
Fireproof Industrial Cylinder #3839,Food & Beverage,20.407,Low,Refrigerated
Shockproof Luxury Crate #262,Sports,68.216,Low,Frozen
Compact Cosmetics System #7089,Industrial,90.631,High,Room Temperature
Lightweight Electronics Pouch #8383,Pharmaceuticals,97.068,High,Pressurized
Industrial Medical Crate #797,Chemical,65.555,Medium,Refrigerated
Vacuum-Sealed Agriculture Canister #9229,Food & Beverage,13.339,High,Ventilated
Basic Automotive Cartridge #5796,Retail,63.237,Medium,Frozen
Basic Medical Batch #9860,Luxury,48.509,High,Refrigerated
Premium Pharmaceuticals Sack #8559,Chemical,92.951,Low,Dark Storage
Industrial Automotive Sack #4173,Furniture,84.928,Medium,Ventilated
Residential Automotive Pallet #3584,Apparel,29.527,Medium,Dry Storage
Waterproof Medical Bag #6462,Sports,7.268,High,Refrigerated
Residential Food & Beverage Envelope #3710,Electronics,91.805,Medium,Climate Controlled
Economy Pharmaceuticals Pouch #3688,Sports,97.066,High,Dark Storage
Dustproof Pharmaceuticals Widget #8134,Food & Beverage,78.267,Medium,Frozen
Lightweight Pharmaceuticals Sack #4258,Cosmetics,64.177,Low,Humidity Controlled
Fireproof Electronics Pouch #5259,Industrial,87.71,Low,Dry Storage
Compact Pharmaceuticals Crate #2230,Food & Beverage,92.016,Low,Humidity Controlled
Dustproof Toys Bottle #870,Electronics,41.155,High,Dark Storage
Professional Apparel Bundle #5885,Medical,18.636,Low,Dark Storage
Heavy-Duty Pharmaceuticals Device #1832,Toys,25.402,Medium,Humidity Controlled
Industrial Medical Jar #882,Pharmaceuticals,99.834,Low,Ventilated
Dustproof Furniture Envelope #8217,Agriculture,31.258,Low,Room Temperature
Vacuum-Sealed Sports Widget #1946,Pharmaceuticals,63.336,Medium,Ventilated
Economy Agriculture Barrel #9665,Agriculture,80.892,High,Ventilated
Fireproof Apparel Assembly #2793,Sports,54.326,High,Sterile
Commercial Furniture Shipment #6587,Industrial,52.108,Medium,Dark Storage
Heavy-Duty Pharmaceuticals Shipment #1909,Apparel,60.49,High,Sterile
Waterproof Medical Unit #2970,Sports,22.168,Low,Room Temperature
Airtight Pharmaceuticals Canister #397,Automotive,10.686,High,Humidity Controlled
Residential Retail Case #653,Apparel,45.197,High,Dark Storage
Standard Retail Parcel #7335,Cosmetics,36.625,High,Climate Controlled
Dustproof Chemical Pack #5353,Luxury,14.65,Low,Ventilated
Advanced Toys Bag #7885,Medical,72.469,Medium,Frozen
Professional Agriculture Cylinder #8208,Apparel,40.48,High,Humidity Controlled
Premium Apparel Box #6623,Apparel,36.759,Medium,Dark Storage
Commercial Automotive Shipment #9454,Retail,0.899,Low,Room Temperature
Standard Industrial Case #4943,Food & Beverage,29.477,High,Climate Controlled
Lightweight Pharmaceuticals Bag #6727,Food & Beverage,83.899,Low,Dark Storage
Basic Agriculture Shipment #5539,Toys,64.863,Medium,Frozen
Heavy-Duty Cosmetics Container #5506,Industrial,4.148,High,Pressurized
Economy Luxury Device #1817,Furniture,77.825,Low,Room Temperature
Dustproof Automotive Widget #7779,Electronics,96.845,Medium,Dark Storage
Portable Electronics Case #2514,Toys,59.991,High,Climate Controlled
Professional Apparel Capsule #1576,Chemical,75.994,Medium,Frozen
Basic Luxury Cylinder #7070,Toys,14.158,Medium,Dark Storage
Vacuum-Sealed Agriculture Bottle #4095,Pharmaceuticals,19.298,High,Refrigerated
Waterproof Electronics Box #258,Food & Beverage,35.182,High,Frozen
Advanced Chemical Unit #3987,Pharmaceuticals,23.014,High,Frozen
Airtight Apparel Barrel #1063,Pharmaceuticals,17.581,Low,Climate Controlled
Heavy-Duty Toys Widget #5618,Electronics,53.651,Medium,Humidity Controlled
Economy Cosmetics Batch #8638,Retail,15.639,Low,Humidity Controlled
Premium Toys Shipment #6275,Sports,59.146,Medium,Room Temperature
Heavy-Duty Apparel Parcel #2516,Electronics,27.365,Low,Pressurized
Residential Industrial Set #2759,Industrial,45.292,Low,Dry Storage
Compact Sports Container #2016,Automotive,89.002,Low,Refrigerated
Vacuum-Sealed Toys Jar #5359,Luxury,24.703,High,Room Temperature
Lightweight Apparel Box #176,Retail,85.314,Medium,Dry Storage
Commercial Luxury Parcel #8674,Automotive,96.721,Medium,Frozen
Commercial Toys Bag #7111,Pharmaceuticals,76.638,High,Sterile
Heavy-Duty Apparel Lot #5508,Pharmaceuticals,92.361,Low,Dark Storage
Basic Sports Module #6004,Industrial,11.854,High,Humidity Controlled
Standard Apparel Can #3281,Furniture,55.697,Low,Sterile
Commercial Toys Pallet #480,Chemical,46.49,Low,Room Temperature
Vacuum-Sealed Food & Beverage Gadget #4724,Pharmaceuticals,92.671,Low,Refrigerated
Industrial Electronics Component #4173,Electronics,89.506,Low,Sterile
Commercial Apparel Drum #485,Industrial,91.012,High,Humidity Controlled
Premium Apparel Component #9401,Cosmetics,30.198,High,Humidity Controlled
Airtight Industrial Kit #8977,Retail,75.93,High,Refrigerated
Deluxe Medical Assembly #8178,Luxury,65.613,Medium,Ventilated
Compact Industrial Capsule #7968,Toys,41.058,Medium,Climate Controlled
Waterproof Toys Bundle #8557,Agriculture,88.39,Low,Pressurized
Waterproof Food & Beverage Capsule #1333,Electronics,17.611,High,Pressurized
Economy Chemical Bundle #5463,Medical,55.591,High,Dry Storage
Premium Furniture Shipment #2574,Electronics,38.614,Medium,Ventilated
Portable Furniture Case #8486,Luxury,55.969,High,Room Temperature
Compact Automotive Shipment #1881,Medical,99.539,Medium,Pressurized
Economy Electronics Package #3524,Sports,77.334,High,Frozen
Fireproof Medical Module #6487,Food & Beverage,22.27,High,Sterile
Waterproof Cosmetics Pallet #5012,Agriculture,90.5,Medium,Climate Controlled
Professional Electronics Sack #6591,Luxury,91.779,Low,Dark Storage
Heavy-Duty Chemical Set #5912,Sports,57.613,Medium,Humidity Controlled
Heavy-Duty Electronics Module #7969,Toys,32.384,Medium,Ventilated
Dustproof Medical Bundle #4949,Chemical,37.271,High,Climate Controlled
Deluxe Apparel Jar #7937,Agriculture,76.839,High,Climate Controlled
Industrial Medical Bottle #9713,Pharmaceuticals,57.634,High,Room Temperature
Waterproof Retail Widget #4213,Retail,41.968,Medium,Sterile
Airtight Electronics System #3644,Medical,4.979,Medium,Humidity Controlled
Premium Cosmetics Bottle #8306,Luxury,15.407,High,Pressurized
Economy Agriculture Lot #5812,Apparel,1.576,Low,Room Temperature
Heavy-Duty Toys System #3951,Apparel,33.223,Medium,Dry Storage
Fireproof Furniture Pouch #3318,Cosmetics,45.289,Medium,Humidity Controlled
Advanced Retail Cartridge #3571,Furniture,89.379,Low,Dark Storage
Compact Retail Vessel #2251,Automotive,14.476,Medium,Refrigerated
Commercial Sports Assembly #3624,Luxury,22.345,High,Pressurized
Waterproof Agriculture Unit #3814,Food & Beverage,29.954,High,Room Temperature
Fireproof Cosmetics Pallet #7017,Pharmaceuticals,35.836,High,Room Temperature
Professional Cosmetics Pallet #5091,Toys,28.107,Medium,Dark Storage
Shockproof Industrial Crate #6376,Sports,61.417,High,Sterile
Residential Agriculture Box #853,Retail,39.837,Medium,Climate Controlled
Lightweight Cosmetics Envelope #3561,Furniture,77.41,Medium,Frozen
Residential Industrial Cylinder #4578,Automotive,80.29,Low,Pressurized
Lightweight Chemical Assembly #8460,Industrial,67.564,Low,Frozen
Shockproof Chemical Batch #8358,Luxury,25.128,Low,Climate Controlled
Basic Pharmaceuticals Device #4004,Toys,0.576,Low,Climate Controlled
Standard Agriculture Gadget #705,Food & Beverage,45.491,Low,Climate Controlled
Portable Retail Package #5008,Food & Beverage,72.043,Medium,Dry Storage
Portable Agriculture Lot #9086,Retail,39.892,Low,Humidity Controlled
Premium Retail Component #8200,Toys,33.87,Medium,Climate Controlled
Residential Sports Shipment #4712,Retail,95.673,Low,Dark Storage
Deluxe Automotive Widget #3965,Pharmaceuticals,83.426,High,Dark Storage
Heavy-Duty Cosmetics Cartridge #8713,Electronics,16.299,Low,Humidity Controlled
Deluxe Retail Module #7715,Furniture,6.237,Low,Dry Storage
Industrial Agriculture Cartridge #6707,Medical,14.525,Medium,Sterile
Premium Cosmetics Case #2144,Industrial,35.948,Low,Refrigerated
Advanced Agriculture Unit #2984,Automotive,64.04,Low,Pressurized
Commercial Chemical Drum #1238,Apparel,22.713,Medium,Room Temperature
Lightweight Sports Cartridge #1307,Luxury,82.831,High,Dark Storage
Airtight Furniture Vessel #9443,Apparel,18.464,High,Sterile
Premium Automotive Barrel #6245,Sports,9.156,Low,Refrigerated
Lightweight Electronics Device #1951,Furniture,29.62,Low,Sterile
Fireproof Retail Envelope #9688,Pharmaceuticals,82.939,Low,Climate Controlled
Industrial Food & Beverage Drum #1685,Food & Beverage,40.786,High,Frozen
Commercial Luxury Set #8472,Luxury,12.01,High,Dry Storage
Commercial Apparel Barrel #4059,Sports,17.692,Medium,Dark Storage
Commercial Retail Set #3064,Sports,21.071,Low,Dark Storage
Vacuum-Sealed Chemical Gadget #8486,Cosmetics,98.622,Medium,Room Temperature
Economy Cosmetics Gadget #8733,Cosmetics,12.199,Low,Sterile
Standard Agriculture Gadget #3894,Pharmaceuticals,50.061,Medium,Pressurized
Airtight Chemical Package #8836,Chemical,93.768,Medium,Room Temperature
Deluxe Apparel Assembly #4854,Pharmaceuticals,15.207,Medium,Refrigerated
Premium Chemical Lot #1417,Medical,58.545,Low,Sterile
Compact Luxury Canister #1527,Cosmetics,64.334,Low,Humidity Controlled
Waterproof Medical Envelope #8407,Sports,22.647,High,Ventilated
Professional Agriculture Lot #3978,Food & Beverage,60.41,Low,Room Temperature
Premium Chemical Box #7349,Medical,2.266,High,Sterile
Professional Medical Device #5751,Medical,34.225,Low,Dark Storage
Portable Industrial Can #2635,Pharmaceuticals,18.502,Medium,Dark Storage
Commercial Cosmetics Capsule #5442,Agriculture,71.822,Medium,Ventilated
Portable Retail Gadget #5059,Food & Beverage,51.461,Medium,Humidity Controlled
Professional Industrial Widget #9190,Sports,30.98,High,Ventilated
Deluxe Industrial Assembly #3995,Sports,99.75,Low,Dry Storage
Fireproof Automotive Pallet #1348,Electronics,28.637,Medium,Dry Storage
Deluxe Industrial Shipment #9362,Pharmaceuticals,74.316,Low,Dark Storage
Fireproof Toys Pallet #2870,Medical,62.79,Medium,Pressurized
Dustproof Agriculture Package #4136,Chemical,7.639,Medium,Dark Storage
Vacuum-Sealed Food & Beverage Unit #1565,Industrial,44.165,Medium,Dry Storage
Portable Electronics Widget #7659,Furniture,1.384,High,Refrigerated
Heavy-Duty Industrial Widget #5714,Sports,29.641,Medium,Dry Storage
Dustproof Apparel Shipment #4666,Medical,61.466,Low,Refrigerated
Premium Automotive Widget #7716,Medical,45.191,Medium,Dark Storage
Vacuum-Sealed Cosmetics Bundle #1007,Apparel,71.179,Medium,Room Temperature
Waterproof Apparel Bundle #916,Automotive,17.762,Medium,Dark Storage
Industrial Automotive Box #2278,Food & Beverage,12.59,High,Frozen
Airtight Apparel Package #5461,Toys,8.745,High,Humidity Controlled
Deluxe Cosmetics Pouch #2337,Furniture,54.789,Medium,Refrigerated
Shockproof Medical Bottle #8348,Chemical,72.164,Low,Frozen
Commercial Pharmaceuticals Parcel #900,Pharmaceuticals,24.666,High,Refrigerated
Basic Agriculture Batch #1724,Apparel,47.898,High,Ventilated
Vacuum-Sealed Toys Vessel #6664,Electronics,38.7,Medium,Dark Storage
Fireproof Electronics Crate #5259,Cosmetics,33.596,Low,Frozen
Deluxe Electronics Crate #5194,Cosmetics,68.427,Low,Pressurized
Airtight Furniture Case #8843,Automotive,58.619,Low,Frozen
Shockproof Food & Beverage Component #4230,Apparel,81.892,High,Climate Controlled
Premium Toys Pack #9840,Medical,51.312,Medium,Dry Storage
Vacuum-Sealed Cosmetics Bag #2283,Luxury,49.848,Low,Climate Controlled
Basic Apparel Crate #6139,Retail,15.307,Medium,Dry Storage
Vacuum-Sealed Automotive Crate #9949,Electronics,4.1,High,Dry Storage
Standard Apparel Case #1511,Furniture,83.035,Low,Sterile
Heavy-Duty Pharmaceuticals Pallet #6775,Chemical,53.834,High,Frozen
Premium Industrial Kit #5751,Retail,24.405,High,Refrigerated
Advanced Apparel Shipment #5904,Cosmetics,14.406,Medium,Humidity Controlled
Dustproof Automotive Canister #3465,Sports,65.905,High,Dark Storage
Residential Agriculture Lot #7653,Apparel,61.299,Low,Ventilated
Industrial Medical Vessel #5364,Chemical,96.448,High,Climate Controlled
Advanced Furniture Module #4770,Food & Beverage,49.14,High,Dry Storage
Compact Apparel Pouch #2077,Chemical,68.333,Medium,Humidity Controlled
Airtight Industrial Box #7982,Sports,7.251,Medium,Dry Storage
Vacuum-Sealed Food & Beverage Canister #2466,Luxury,52.427,Low,Refrigerated
Industrial Pharmaceuticals Lot #207,Food & Beverage,77.916,High,Room Temperature
Industrial Food & Beverage Can #5229,Retail,38.845,Medium,Frozen
Premium Toys Lot #8337,Agriculture,42.854,Medium,Frozen
Basic Food & Beverage Bag #3483,Apparel,44.567,Low,Humidity Controlled
Heavy-Duty Medical Box #4541,Food & Beverage,80.568,Medium,Frozen
Vacuum-Sealed Apparel Pallet #2889,Industrial,31.661,Medium,Dry Storage
Commercial Apparel Jar #5592,Chemical,90.968,Medium,Humidity Controlled
Professional Industrial Crate #4344,Medical,39.286,Medium,Sterile
Portable Furniture Widget #1440,Furniture,97.745,Medium,Pressurized
Basic Agriculture Sack #2688,Furniture,51.18,High,Dark Storage
Waterproof Pharmaceuticals Device #6815,Pharmaceuticals,16.552,High,Climate Controlled
Shockproof Luxury Bag #419,Agriculture,36.824,Low,Room Temperature
Compact Luxury Canister #4002,Industrial,40.739,Low,Humidity Controlled
Dustproof Apparel Crate #5020,Electronics,95.862,High,Frozen
Vacuum-Sealed Apparel Parcel #3123,Sports,41.939,Medium,Pressurized
Deluxe Pharmaceuticals Barrel #9327,Luxury,33.447,Low,Frozen
Commercial Medical Cartridge #1540,Retail,67.25,Medium,Frozen
Lightweight Furniture System #1917,Chemical,44.786,Medium,Ventilated
Commercial Industrial Barrel #9110,Pharmaceuticals,59.768,Low,Humidity Controlled
Heavy-Duty Sports Pack #7091,Agriculture,2.276,Medium,Sterile
Portable Chemical Jar #8618,Chemical,21.63,High,Climate Controlled
Waterproof Automotive Parcel #6074,Retail,13.934,Low,Sterile
Portable Furniture Cylinder #4489,Food & Beverage,30.186,High,Humidity Controlled
Fireproof Retail Bottle #3814,Luxury,0.537,Low,Dry Storage
Deluxe Toys Envelope #7331,Industrial,89.309,Medium,Pressurized
Vacuum-Sealed Agriculture Case #3784,Retail,68.988,High,Room Temperature
Shockproof Industrial Parcel #4618,Industrial,91.08,Medium,Sterile
Fireproof Toys System #2322,Furniture,85.811,Low,Humidity Controlled
Portable Sports Module #3348,Food & Beverage,86.415,Medium,Room Temperature
Airtight Pharmaceuticals Cartridge #594,Furniture,2.52,Low,Sterile
Residential Industrial Pouch #2074,Toys,13.482,Medium,Ventilated
Premium Apparel Jar #4896,Toys,68.095,Low,Dry Storage
Shockproof Furniture Sack #5654,Cosmetics,44.526,High,Frozen
Economy Chemical Crate #2768,Agriculture,5.704,High,Climate Controlled
Shockproof Automotive Unit #5154,Automotive,6.497,Medium,Ventilated
Dustproof Electronics Module #8008,Apparel,76.617,Medium,Room Temperature
Professional Cosmetics Jar #1088,Apparel,19.793,High,Dry Storage
Vacuum-Sealed Chemical Batch #4123,Medical,14.148,High,Dark Storage
Residential Cosmetics Case #6588,Cosmetics,0.534,Low,Frozen
Advanced Chemical Bundle #1373,Luxury,79.398,Low,Room Temperature
Vacuum-Sealed Apparel Unit #594,Retail,94.92,Low,Pressurized
Standard Retail Bundle #9286,Industrial,50.388,Medium,Frozen
Premium Industrial Envelope #3690,Apparel,81.729,High,Dry Storage
Premium Luxury Bag #2827,Cosmetics,99.286,Low,Dark Storage
Airtight Electronics System #8570,Retail,45.191,High,Dark Storage
Residential Pharmaceuticals Cartridge #4930,Electronics,94.705,High,Frozen
Deluxe Toys Unit #9857,Agriculture,54.072,Medium,Ventilated
Shockproof Electronics Box #1057,Agriculture,74.033,Low,Dry Storage
Portable Electronics Container #6095,Apparel,0.972,Medium,Climate Controlled
Economy Retail Bottle #4502,Sports,91.744,Medium,Sterile
Industrial Automotive Shipment #5358,Pharmaceuticals,2.5,Medium,Dark Storage
Airtight Apparel Capsule #8061,Industrial,56.869,Low,Refrigerated
Heavy-Duty Automotive Widget #3902,Retail,18.861,Medium,Sterile
Commercial Medical Module #298,Automotive,76.383,Low,Sterile
Commercial Automotive Widget #516,Luxury,21.593,Low,Room Temperature
Deluxe Agriculture Case #238,Food & Beverage,10.917,Medium,Climate Controlled
Airtight Sports Crate #1169,Apparel,11.061,Medium,Pressurized
Airtight Toys Pack #1220,Agriculture,69.123,High,Room Temperature
Compact Electronics Widget #110,Toys,87.79,Low,Pressurized
Compact Industrial Pallet #6884,Agriculture,51.006,High,Room Temperature
Basic Automotive Component #7191,Industrial,25.603,Low,Room Temperature
Fireproof Electronics Drum #7373,Industrial,6.237,Low,Refrigerated
Standard Luxury Barrel #885,Automotive,40.626,High,Humidity Controlled
Shockproof Industrial Parcel #5211,Food & Beverage,68.742,Medium,Dry Storage
Compact Furniture Pallet #538,Toys,63.467,Low,Climate Controlled
Compact Automotive Package #1934,Toys,64.608,Medium,Climate Controlled
Fireproof Chemical Set #6850,Furniture,32.04,High,Room Temperature
Standard Apparel Package #804,Cosmetics,4.302,High,Room Temperature
Residential Luxury Bundle #2464,Food & Beverage,92.225,High,Humidity Controlled
Compact Furniture Component #4991,Apparel,28.255,Low,Ventilated
Dustproof Sports System #3054,Retail,81.583,High,Climate Controlled
Heavy-Duty Industrial Jar #4813,Electronics,9.212,High,Room Temperature
Lightweight Chemical Assembly #6981,Pharmaceuticals,88.869,High,Refrigerated
Advanced Apparel Component #4663,Apparel,89.756,High,Pressurized
Airtight Pharmaceuticals Kit #2032,Medical,70.358,Medium,Refrigerated
Standard Food & Beverage Bundle #2737,Apparel,9.432,Medium,Pressurized
Dustproof Toys Widget #3742,Luxury,38.987,High,Dark Storage
Advanced Toys Envelope #4658,Food & Beverage,8.61,High,Ventilated
Dustproof Retail Can #8132,Retail,83.177,Medium,Humidity Controlled
Vacuum-Sealed Industrial Device #4344,Sports,73.611,High,Dry Storage
Advanced Medical Vessel #4903,Medical,20.001,Medium,Refrigerated
Professional Retail Gadget #6728,Furniture,86.992,High,Humidity Controlled
Airtight Industrial Device #7761,Retail,2.906,High,Dry Storage
Waterproof Cosmetics Pack #6380,Automotive,19.04,Medium,Pressurized
Compact Retail Case #1936,Food & Beverage,58.847,Medium,Humidity Controlled
Deluxe Retail Package #3739,Furniture,70.588,High,Humidity Controlled
Professional Chemical Vessel #297,Cosmetics,36.538,Low,Dry Storage
Advanced Agriculture Envelope #8352,Sports,65.648,High,Frozen
Professional Agriculture Cylinder #6215,Industrial,16.006,Medium,Frozen
Industrial Medical Set #7690,Food & Beverage,46.866,High,Ventilated
Premium Luxury Kit #4911,Automotive,56.0,Low,Humidity Controlled
Heavy-Duty Sports Sack #8766,Toys,81.457,Medium,Dark Storage
Advanced Toys Capsule #4239,Toys,48.539,Low,Room Temperature
Basic Furniture Sack #710,Retail,87.51,Low,Room Temperature
Residential Industrial Crate #1333,Pharmaceuticals,78.89,Medium,Dry Storage
Residential Retail Package #1446,Pharmaceuticals,90.105,Medium,Frozen
Vacuum-Sealed Chemical Module #7820,Furniture,75.42,Medium,Sterile
Shockproof Electronics Crate #5517,Toys,81.131,Low,Climate Controlled
Basic Sports Can #5185,Automotive,7.056,Medium,Room Temperature
Heavy-Duty Pharmaceuticals Canister #2318,Pharmaceuticals,32.062,High,Humidity Controlled
Premium Sports Pallet #835,Industrial,42.704,Low,Room Temperature
Commercial Furniture Cartridge #7752,Chemical,54.482,Low,Room Temperature
Residential Pharmaceuticals Vessel #9954,Toys,91.618,Medium,Frozen
Industrial Food & Beverage Barrel #1674,Luxury,72.234,Low,Ventilated
Commercial Sports Assembly #4767,Chemical,82.882,High,Frozen
Heavy-Duty Apparel Bag #2366,Furniture,79.356,Medium,Ventilated
Airtight Chemical Bundle #8438,Luxury,74.715,Low,Refrigerated
Waterproof Retail Cartridge #1294,Luxury,76.02,Medium,Frozen
Heavy-Duty Medical Unit #8159,Automotive,12.914,High,Ventilated
Deluxe Furniture Parcel #2754,Medical,50.445,Medium,Dry Storage
Portable Chemical Capsule #3532,Electronics,78.045,Low,Room Temperature
Airtight Industrial Vessel #9635,Furniture,90.749,Low,Refrigerated
Shockproof Apparel Component #4276,Electronics,82.745,High,Climate Controlled
Basic Food & Beverage Unit #1059,Pharmaceuticals,19.427,High,Climate Controlled
Residential Industrial Unit #6969,Furniture,21.739,High,Room Temperature
Advanced Automotive Pack #3252,Automotive,73.912,Medium,Ventilated
Lightweight Cosmetics Bottle #8331,Furniture,9.484,High,Dark Storage
Professional Retail Bundle #1102,Luxury,12.119,High,Sterile
Heavy-Duty Pharmaceuticals Case #1042,Medical,47.526,Medium,Humidity Controlled
Lightweight Medical Batch #4434,Agriculture,61.03,Medium,Dark Storage
Heavy-Duty Electronics Barrel #8445,Apparel,76.99,Medium,Climate Controlled
Professional Cosmetics Kit #6575,Electronics,60.765,High,Dark Storage
Fireproof Retail Drum #2226,Toys,85.484,Low,Climate Controlled
Lightweight Electronics System #4343,Chemical,26.675,Low,Sterile
Premium Cosmetics Cylinder #5370,Agriculture,36.728,Low,Climate Controlled
Dustproof Toys Jar #123,Pharmaceuticals,98.643,Medium,Humidity Controlled
Fireproof Agriculture Component #7951,Cosmetics,78.055,High,Dry Storage
Portable Furniture Pack #2823,Agriculture,18.312,Low,Sterile
Deluxe Retail Jar #1036,Food & Beverage,76.048,Low,Sterile
Fireproof Apparel Pack #4535,Agriculture,1.427,Low,Humidity Controlled
Professional Pharmaceuticals Assembly #9863,Agriculture,28.523,High,Dry Storage
Standard Pharmaceuticals Cartridge #8999,Apparel,5.102,Low,Humidity Controlled
Advanced Automotive Container #1201,Furniture,78.88,High,Refrigerated
Advanced Furniture Bottle #8994,Food & Beverage,90.797,Medium,Room Temperature
Standard Cosmetics Bundle #7935,Agriculture,70.24,Low,Refrigerated
Economy Apparel Unit #9051,Apparel,70.913,Low,Dark Storage
Professional Luxury Vessel #3053,Electronics,3.17,Low,Frozen
Basic Medical Sack #3102,Apparel,34.93,High,Dry Storage
Waterproof Medical Box #3489,Medical,26.239,Medium,Humidity Controlled
Standard Industrial Batch #6368,Sports,45.626,High,Dry Storage
Shockproof Furniture Widget #2354,Cosmetics,31.933,High,Pressurized
Professional Furniture Module #7633,Agriculture,20.781,Medium,Refrigerated
Dustproof Furniture Pack #2066,Sports,18.77,Medium,Sterile
Deluxe Furniture Gadget #3435,Apparel,47.252,Low,Climate Controlled
Residential Sports Envelope #8019,Apparel,24.322,High,Pressurized
Advanced Cosmetics Capsule #9298,Luxury,41.375,High,Dark Storage
Fireproof Sports Cartridge #9393,Retail,28.435,Low,Frozen
Waterproof Apparel Pack #2561,Electronics,87.672,Low,Ventilated
Shockproof Chemical Batch #9922,Agriculture,13.957,High,Dark Storage
Shockproof Chemical Package #438,Apparel,36.55,High,Frozen
Advanced Chemical Widget #320,Industrial,39.345,Medium,Climate Controlled
Shockproof Cosmetics Bag #3540,Retail,88.908,Low,Ventilated
Lightweight Toys Module #6677,Medical,12.941,Low,Room Temperature
Vacuum-Sealed Food & Beverage Drum #7449,Chemical,3.535,High,Frozen
Fireproof Electronics Cylinder #1081,Electronics,54.656,High,Room Temperature
Portable Industrial Container #3001,Food & Beverage,30.489,High,Dark Storage
Fireproof Electronics Pouch #7168,Chemical,1.845,Low,Sterile
Heavy-Duty Apparel Sack #9827,Electronics,55.992,Medium,Climate Controlled
Industrial Luxury Crate #6884,Cosmetics,82.408,Medium,Refrigerated
Vacuum-Sealed Medical Component #9383,Apparel,95.44,Low,Room Temperature
Basic Furniture Cylinder #3444,Luxury,64.532,High,Dry Storage
Industrial Furniture Widget #6792,Cosmetics,32.095,Medium,Dry Storage
Deluxe Retail Pallet #999,Apparel,59.867,Low,Room Temperature
Heavy-Duty Furniture Batch #744,Food & Beverage,90.717,Low,Room Temperature
Premium Retail Component #2877,Sports,5.336,High,Sterile
Dustproof Chemical Can #5865,Cosmetics,6.69,Medium,Pressurized
Lightweight Automotive Component #4882,Food & Beverage,72.739,Medium,Pressurized
Standard Luxury Bottle #698,Electronics,17.432,High,Dry Storage
Residential Automotive Parcel #594,Automotive,69.932,Medium,Refrigerated
Commercial Apparel Crate #7335,Automotive,54.421,High,Frozen
Vacuum-Sealed Toys Component #4722,Sports,68.326,High,Dry Storage
Premium Automotive Set #3066,Electronics,92.354,High,Dry Storage
Compact Furniture Barrel #4175,Medical,44.404,Medium,Refrigerated
Standard Chemical Set #6231,Cosmetics,77.054,Medium,Frozen
Premium Agriculture Barrel #4980,Toys,91.627,Low,Pressurized
Lightweight Luxury Assembly #8721,Chemical,81.096,Low,Frozen
Basic Food & Beverage Pouch #7530,Medical,63.555,High,Refrigerated
Professional Cosmetics Canister #9777,Automotive,85.32,High,Climate Controlled
Premium Industrial Widget #1528,Chemical,45.941,High,Climate Controlled
Economy Food & Beverage Jar #2149,Chemical,45.854,Low,Humidity Controlled
Economy Cosmetics Can #5407,Luxury,71.809,Low,Refrigerated
Fireproof Industrial Set #3948,Electronics,97.95,High,Pressurized
Professional Industrial Widget #2438,Cosmetics,67.467,High,Dry Storage
Fireproof Retail Cylinder #5673,Electronics,86.216,Medium,Ventilated
Advanced Pharmaceuticals Can #2120,Luxury,20.36,Medium,Sterile
Industrial Retail Crate #4556,Toys,29.093,Low,Refrigerated
Residential Luxury Cylinder #5207,Toys,58.495,Low,Climate Controlled
Vacuum-Sealed Luxury Package #6876,Pharmaceuticals,66.76,High,Dry Storage
Premium Cosmetics Lot #6063,Furniture,99.87,High,Humidity Controlled
Shockproof Industrial Can #6654,Medical,2.975,High,Refrigerated
Premium Luxury Shipment #8941,Apparel,81.248,Medium,Ventilated
Deluxe Luxury Cylinder #5739,Agriculture,86.691,High,Ventilated
Residential Industrial Can #2722,Furniture,39.873,Low,Pressurized
Basic Automotive Sack #8177,Toys,81.068,Low,Dark Storage
Residential Sports Envelope #9365,Luxury,23.695,High,Pressurized
Airtight Industrial Pouch #9707,Luxury,66.514,Medium,Room Temperature
Economy Toys System #366,Food & Beverage,72.898,Medium,Frozen
Advanced Furniture Crate #1345,Furniture,92.439,Low,Sterile
Lightweight Electronics Box #3945,Pharmaceuticals,18.489,Medium,Dark Storage
Fireproof Apparel Drum #1776,Furniture,51.521,High,Pressurized
Lightweight Cosmetics Set #2183,Electronics,57.031,High,Dry Storage
Professional Furniture Canister #1256,Furniture,64.394,Low,Dark Storage
Standard Toys Container #6190,Retail,32.554,Low,Pressurized
Portable Apparel Crate #2670,Luxury,64.118,High,Pressurized
Basic Luxury Vessel #6261,Sports,0.168,Medium,Sterile
Basic Chemical Case #5040,Sports,24.26,Medium,Sterile
Advanced Retail Cartridge #5187,Toys,10.707,Medium,Humidity Controlled
Industrial Pharmaceuticals Parcel #7608,Sports,47.714,Medium,Frozen
Shockproof Sports Crate #4119,Apparel,32.339,High,Ventilated
Lightweight Chemical Device #1819,Apparel,29.709,High,Dry Storage
Premium Industrial Set #4895,Luxury,55.749,High,Pressurized
Premium Luxury Assembly #4460,Electronics,31.777,Low,Climate Controlled
Advanced Industrial Crate #8217,Food & Beverage,77.343,Low,Dark Storage
Waterproof Toys Bundle #6836,Automotive,48.336,High,Dry Storage
Heavy-Duty Automotive Kit #4433,Sports,7.09,Low,Sterile
Basic Furniture Gadget #4492,Retail,35.313,Medium,Humidity Controlled
Economy Luxury Sack #9425,Chemical,9.372,High,Ventilated
